"","K4_stage","ETU","DAS","panicle_height"
"SHSL001_01_S1.count.txt","4",9.74,78,17.286
"SHSL001_02_S2.count.txt","4",9.51,78,16.976
"SHSL001_03_S3.count.txt","4",9.85,78,14.238
"SHSL001_04_S4.count.txt","4",9.78,78,16.038
"SHSL001_05_S5.count.txt","4",9.26,76,16.349
"SHSL001_06_S6.count.txt","4",9.39,76,13.954
"SHSL001_07_S7.count.txt","4",9.06,76,9.768
"SHSL001_08_S8.count.txt","3",8.08,75,4.963
"SHSL001_09_S9.count.txt","3",8.41,75,5.314
"SHSL001_10_S10.count.txt","3",7.86,72,3.169
"SHSL001_11_S11.count.txt","3",8.76,72,9.32
"SHSL001_12_S12.count.txt","3",7.62,72,4.228
"SHSL001_13_S13.count.txt","3",5.78,71,3.577
"SHSL001_14_S14.count.txt","3",7.75,71,2.622
"SHSL001_15_S15.count.txt","3",6.49,71,4.014
"SHSL001_16_S16.count.txt","3",6.36,70,4.274
"SHSL001_17_S17.count.txt","3",6.77,70,4.835
"SHSL001_18_S18.count.txt","3",7.1,70,4.131
"SHSL001_19_S19.count.txt","3",7.69,69,3.822
"SHSL001_20_S20.count.txt","2",3.78,69,2.731
"SHSL001_21_S21.count.txt","3",6.55,69,4.432
"SHSL001_22_S22.count.txt","3",5.29,69,3.091
"SHSL001_23_S23.count.txt","2",3.72,68,1.906
"SHSL001_24_S24.count.txt","2",2.93,68,1.763
"SHSL001_25_S25.count.txt","3",6.65,68,4.033
"SHSL001_26_S26.count.txt","3",7.17,68,3.933
"SHSL001_27_S27.count.txt","3",5.16,68,2.871
"SHSL001_28_S28.count.txt","3",6.53,66,3.76
"SHSL001_29_S29.count.txt","3",5.44,66,2.862
"SHSL001_30_S30.count.txt","2",4.51,66,3.233
"SHSL001_31_S31.count.txt","2",3.43,65,1.825
"SHSL001_32_S32.count.txt","2",2.68,65,1.631
"SHSL001_33_S33.count.txt","2",3.4,64,NA
"SHSL001_34_S34.count.txt","2",3.71,64,NA
"SHSL001_35_S35.count.txt","2",3.39,64,NA
"SHSL001_36_S36.count.txt","2",3.17,64,NA
"SHSL001_37_S37.count.txt","2",2,63,1.212
"SHSL001_38_S38.count.txt","2",2.76,63,2.059
"SHSL001_39_S39.count.txt","2",1.49,63,0.955
"SHSL001_40_S40.count.txt","2",2.1,63,1.739
"SHSL001_41_S41.count.txt","3",6.82,62,0.932
"SHSL001_42_S42.count.txt","2",0.88,62,1.033
"SHSL001_43_S43.count.txt","2",1.21,62,1.386
"SHSL001_44_S44.count.txt","3",6.89,62,0.426
"SHSL001_45_S45.count.txt","1",0.59,61,0.972
"SHSL001_46_S46.count.txt","1",0.3,61,0.248
"SHSL001_47_S47.count.txt","1",0,61,0.359
